1.261538461538461497e+00 1.670849242978085167e-02 1.499999999999999869e-04
1.326232741617356936e+00 1.674079177842658500e-02 1.499999999999999869e-04
1.394244677084913731e+00 1.720924868535611552e-02 1.499999999999999869e-04
1.465744404114909250e+00 1.739849813145809970e-02 1.499999999999999869e-04
1.540910783813109752e+00 1.720020924796928155e-02 1.499999999999999869e-04
1.619931849649679512e+00 1.656855519753689179e-02 1.499999999999999869e-04
1.703005277836842524e+00 1.680731513512538980e-02 1.499999999999999869e-04
1.790338881828475337e+00 1.697583260602009841e-02 1.499999999999999869e-04
1.882151132178653485e+00 1.712537502285988583e-02 1.499999999999999869e-04
1.978671703059609932e+00 1.717477743832378570e-02 1.499999999999999869e-04
2.080142046806256584e+00 1.702790111033447573e-02 1.499999999999999869e-04
2.186815997924526300e+00 1.701163893339421168e-02 1.499999999999999869e-04
2.298960408074502304e+00 1.684772740744633346e-02 1.499999999999999869e-04
2.416855813616784587e+00 1.703933348254337704e-02 1.499999999999999869e-04
2.540797137392004856e+00 1.744702577732498358e-02 1.499999999999999869e-04
2.671094426489030838e+00 1.745153942300579214e-02 1.499999999999999869e-04
2.808073627847442744e+00 1.774482085007465446e-02 1.499999999999999869e-04
2.952077403634491226e+00 1.750900626936865642e-02 1.499999999999999869e-04
3.103465988436260314e+00 1.749028683050790275e-02 1.499999999999999869e-04
3.262618090407350735e+00 1.715770032287125893e-02 1.499999999999999869e-04
3.429931838633368812e+00 1.675208737800149700e-02 1.499999999999999869e-04
3.605825779076106130e+00 1.709533921606824422e-02 1.499999999999999869e-04
3.790739921592829464e+00 1.695885652469554181e-02 1.499999999999999869e-04
3.985136840648872081e+00 1.671374645940760031e-02 1.499999999999999869e-04
4.189502832477019822e+00 1.734454644154499389e-02 1.499999999999999869e-04
4.404349131578405796e+00 1.683557979544110170e-02 1.499999999999999869e-04
4.630213189608067381e+00 1.710582481318024747e-02 1.499999999999999869e-04
4.867660019844378461e+00 1.717964254192664783e-02 1.499999999999999869e-04
5.117283610605628752e+00 1.754077045402894011e-02 1.499999999999999869e-04
5.379708411149507263e+00 1.765161518486569464e-02 1.499999999999999869e-04
5.655590893772558303e+00 1.748158609761318871e-02 1.499999999999999869e-04
5.945621196017304655e+00 1.745274772645268729e-02 1.499999999999999869e-04
6.250524847095114467e+00 1.715755634604328519e-02 1.499999999999999869e-04
6.571064582843582080e+00 1.732617720298963368e-02 1.499999999999999869e-04
6.908042253758637230e+00 1.766722166175300687e-02 1.499999999999999869e-04
7.262300830874464097e+00 1.764775905789927116e-02 1.499999999999999869e-04
7.634726514509051043e+00 1.777993519622700011e-02 1.499999999999999869e-04
8.026250951150540658e+00 1.779838663671053783e-02 1.499999999999999869e-04
